cake_crop_id,crop_file_name,shape,dominant_color,visual_style,lettering_type,board_lettering,border_type,cream_decoration,topping_decoration,character_type,text_presence,memo
23,_onyourday_1669204494_2977825587007522340_12861674625_cake_1.jpg,하트,화이트,러블리,중앙레터링,없음,없음,하트,스프링클,토끼|곰,있음,"하트 모양의 흰색 케이크에 분홍색 중앙 레터링, 하트 모양 크림 장식과 컬러풀한 스프링클, 토끼 및 곰 캐릭터가 있음"
24,_onyourday_1669378844_2979288140258705327_12861674625_cake_1.jpg,하트,퍼플,심플,중앙레터링,없음,크림테두리,하트,없음,없음,있음,보라색 하트 모양 케이크 테두리에 크림 동글 동글한 장식이 있고 중앙에 하트 모양 글자가 있음.
26,_onyourday_1669626500_2981365633565566365_12861674625_cake_1.jpg,하트,화이트,심플,중앙레터링,없음,크림테두리,하트,없음,없음,있음,빨간 글씨가 중앙에 'Happy Hyun's day'라고 적혀 있음
28,_onyourday_1669798607_2982809371680670625_12861674625_cake_1.jpg,원형,화이트|옐로우|핑크|블랙,캐릭터,중앙레터링,없음,없음,하트,없음,곰,있음,"케이크 본체는 원형이며, 흰색 크림 바탕에 노란색과 빨간색이 주된 색상임. 캐릭터 스타일이며 중앙에 곰 캐릭터가 그려져 있음. 메시지 레터링이 중앙 곰 캐릭터 위에 검정색으로 쓰여 있음. 보드 레터링은 보이지 않으며 테두리는 크림 장식 없이 심플함. 하트 모양 크림 장식이 있음."
29,_onyourday_1670230774_2986434649891878544_12861674625_cake_1.jpg,판단불가,화이트|브라운|그린|핑크,화려함|판단불가,판단불가,있음,크림테두리,꽃|하트,판단불가,사람,있음,케이크가 집 모양이고 장식이 많음. 산타 인형과 글자가 있어 캐릭터와 텍스트가 있음. 전체 모양이 정확히 원형 등으로 보이지 않음.
33,_onyourday_1670231232_2986438490196599056_12861674625_cake_1.jpg,원형,핑크,화려함,중앙레터링,없음,없음,꽃,판단불가,곰,있음,"곰 모양 초콜릿 캔들 장식이 있고, 'merry christmas' 글자가 중앙에 큼직하게 있음. 크림 테두리 없음. 과일이나 진주 등 토핑은 명확하지 않음."
34,_onyourday_1670231232_2986438490205053421_12861674625_cake_1.jpg,원형,화이트|핑크,심플|러블리,중앙레터링,있음,크림테두리,없음,없음,없음,있음,"원형 화이트 크림 케이크에 분홍색 레터링 중앙에 위치, 크림 테두리 있다. 상단에 크리스마스 장식 및 리본 보이지만 크림 데코와는 다름."
35,_onyourday_1670231232_2986438490205168858_12861674625_cake_1.jpg,원형,핑크|화이트|그린|옐로우,화려함|캐릭터,중앙레터링,있음,없음,꽃,진주,곰,있음,"곰 모양 초 장식과 노란색 레터링, 다양한 색 크림 장식으로 화려한 스타일임. 케이크 모양은 원형이며 보드에 글자가 있음."
36,_onyourday_1670231232_2986438490297249954_12861674625_cake_1.jpg,하트,핑크|그린,심플,중앙레터링,없음,없음,없음,없음,없음,있음,"빨간색과 초록색 레터링이 있는 하트모양 케이크이며, 크림 장식과 보더는 없음. 문자 있음."
38,_onyourday_1670582244_2989382994363937296_12861674625_cake_1.jpg,하트,핑크|화이트,러블리,중앙레터링,없음,없음,없음,없음,없음,있음,하트 모양의 케이크이며 핑크와 흰색 크림이 사용됨. 크림 테두리나 데코레이션은 없고 중앙에 레터링 있음. 사진에서 다른 데코 요소 및 경계선은 확인되지 않음.
42,_onyourday_1670827089_2991436899381766694_12861674625_cake_1.jpg,원형,화이트,심플,없음,있음,없음,없음,반짝이,없음,있음,"케이크 표면에 글자는 없고, 위 장식판에 문자 있음. 크림 위 반짝이 점들이 꾸밈 요소임."
43,_onyourday_1670921702_2992230572202921207_12861674625_cake_1.jpg,원형,화이트,캐릭터,중앙레터링,없음,없음,없음,진주,토끼,있음,토끼 캐릭터가 중앙에 있고 문구가 케이크 표면에 크림으로 쓰여 있음. 주변에 작은 진주 모양 장식이 있음.
44,_onyourday_1671007821_2992952990492143586_12861674625_cake_1.jpg,하트,판단불가,판단불가,중앙레터링,없음,없음,없음,없음,없음,있음,케이크 색상은 사진 조명 때문에 정확한 판단이 어려움. 케이크 표면이 광택이 있는 레드 색상으로 보임.
45,_onyourday_1671101737_2993740816115464525_12861674625_cake_1.jpg,원형,화이트|핑크|그린,러블리,중앙레터링,없음,크림테두리,꽃,진주,없음,있음,"분홍 장미 크림 장식과 진주 모양 데코가 있고, 흰색 케이크에 중앙에 글자가 있으며 원형 모양임."
46,_onyourday_1671264860_2995109188058474072_12861674625_cake_1.jpg,원형,화이트|브라운|그린|믹스,화려함,중앙레터링,있음,크림테두리,하트|꽃,과일|반짝이,기타캐릭터,있음,"흰색과 빨간색 크림을 사용한 원형 케이크로, 다양한 크리스마스 장식과 글씨가 있음. 케이크 위에 미니어처 산타, 선물, 눈사람 인형 있음."
47,_onyourday_1671505347_2997126540344923904_12861674625_cake_1.jpg,원형,화이트|브라운,화려함,중앙레터링,없음,크림테두리,없음,판단불가,판단불가,있음,케이크 테두리는 크림 타입이며 상단 흰 크림과 측면 붉은색으로 구성됨. 중간에 중앙레터링이 붉은색 크림으로 쓰여있음. 장식 대부분이 미니어처 및 다소 판단 불가함.
48,_onyourday_1671607720_2997985312831403490_12861674625_cake_1.jpg,원형,화이트|옐로우,화려함,중앙레터링,있음,크림테두리,없음,스프링클,토끼,있음,"여러 가지 토핑 장식과 다채로운 색상, 글자가 중앙에 있으며, 토끼 캐릭터가 있음"
52,_onyourday_1672134335_3002402871715713357_12861674625_cake_1.jpg,하트,블랙,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,"검은색 하트 모양 케이크에 분홍색 레터링 있음. 크림 장식, 테두리, 토핑 장식 없음."
54,_onyourday_1672396478_3004601894256789937_12861674625_cake_1.jpg,하트,핑크,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,"하트 모양 케이크, 핑크색 크림, 레터링이 중앙에 있음. 크림 테두리 및 추가 장식 없음."
55,_onyourday_1672455158_3005094136482531916_12861674625_cake_1.jpg,하트,화이트,심플,중앙레터링,없음,없음,없음,없음,없음,있음,"하트 모양의 흰색 케이크이며, 짙은 색으로 중앙 레터링이 있음. 장식이 없고 글자가 선명하게 보임."
56,_onyourday_1672482454_3005323106248772615_12861674625_cake_1.jpg,원형,화이트|블랙|핑크|믹스,러블리|화려함,중앙레터링,있음,크림테두리,없음,스프링클|과일,토끼,있음,"토끼 인형 2개와 풍선, 초콜릿 장식 있음. 화이트 크림에 블랙 드립, 핑크색 글씨, 알록달록 스프링클로 장식됨. 텍스트는 케이크 앞면과 보드에 있음."
59,_onyourday_1672913553_3008939425878455180_12861674625_cake_1.jpg,원형,화이트|블루,화려함,중앙레터링,있음,크림테두리,없음,판단불가,곰,있음,"토퍼가 있고, 여러 색상 풍선 토퍼 및 곰 모양 토퍼가 있음. 케이크 옆면에 글자가 있음. 생크림 경계 장식이 보임."
60,_onyourday_1672999736_3009662383447214119_12861674625_cake_1.jpg,원형,블루,레터링중심,중앙레터링,없음,없음,없음,진주,없음,있음,블루색상의 원형 케이크로 레터링이 중앙에 있으며 작은 하트와 진주같은 크림 장식이 있음.
62,_onyourday_1673251295_3011772619234652229_12861674625_cake_1.jpg,원형,화이트,러블리,중앙레터링,없음,없음,없음,스프링클,없음,있음,화려하지 않고 색색의 레터링과 스프링클로 꾸민 심플하고 사랑스러운 느낌의 원형 케이크
63,_onyourday_1673351290_3012611437461165580_12861674625_cake_1.jpg,하트,화이트,러블리,중앙레터링,없음,없음,없음,스프링클,없음,있음,하트 모양의 흰색 케이크 위에 다채로운 색깔의 레터링과 스프링클 토핑이 있음.
64,_onyourday_1673427858_3013253734403256461_12861674625_cake_1.jpg,하트,핑크|퍼플|옐로우|그린|화이트,러블리,중앙레터링,없음,없음,꽃,진주,없음,있음,"핑크 기본에 다양한 컬러 크림 꽃과 진주 토핑 있음, 하트 모양, 중앙에 레터링 있음"
65,_onyourday_1673515938_3013992600470861613_12861674625_cake_1.jpg,하트,핑크,러블리,중앙레터링,없음,없음,없음,없음,없음,있음,하트 모양에 핑크색 크림으로 전체 덮여 있으며 중앙에 파란색 레터링과 빨간 하트 모양의 장식이 있다. 보드 레터링과 크림 테두리 없음.
66,_onyourday_1673606073_3014748708180072678_12861674625_cake_1.jpg,원형,퍼플|화이트|핑크|브라운|그린|블루|옐로우,러블리|화려함,중앙레터링|꽉찬레터링,있음,크림테두리|꽃테두리,꽃,진주|스프링클,기타동물,있음,"케이크 중앙에 다채로운 색상의 레터링이 있으며, 크림 장식에 진주와 꽃이 있음. 여러 동물 캐릭터 모형 있음."
67,_onyourday_1673686107_3015420082806052197_12861674625_cake_1.jpg,하트,블랙|퍼플|화이트,화려함,중앙레터링,있음,크림테두리,리본,진주,없음,있음,하트 모양의 2단 케이크. 색상은 주로 검은색이며 보라색과 흰색 크림 장식이 있음. 중앙에 보라색 레터링 있음. 크림테두리와 리본 모양 크림 데코 장식 있음. 진주 같은 토핑이 보임.
69,_onyourday_1673948801_3017623722463523957_12861674625_cake_1.jpg,원형,화이트,심플,중앙레터링,없음,크림테두리,꽃,진주,없음,있음,"화이트 크림 원형 케이크에 컬러풀한 꽃 크림 장식과 진주 모양 장식, 가운데 손글씨 레터링 있음."
70,_onyourday_1674035568_3018351574490199080_12861674625_cake_1.jpg,하트,화이트,러블리,중앙레터링,없음,크림테두리,없음,스프링클,없음,있음,하트 모양의 흰색 케이크에 파란색 중앙 레터링과 다채로운 색상의 스프링클 토핑이 있음.
72,_onyourday_1674293367_3020514152079188886_12861674625_cake_1.jpg,원형,화이트|그린|옐로우|브라운|블랙|핑크,심플,중앙레터링,없음,크림테두리,없음,없음,없음,있음,"원형 케이크에 크림으로 다양한 색상의 무늬가 장식되어 있고, 텍스트가 중앙에 레터링 형태로 쓰여 있음. 케이크 테두리는 크림 테두리임."
73,_onyourday_1674458774_3021901683046492498_12861674625_cake_1.jpg,원형,화이트|옐로우|믹스,화려함,중앙레터링,있음,크림테두리,없음,스프링클|진주,토끼,있음,"케이크에 다양한 컬러 풍선 장식, 토끼 캐릭터, 숫자 6 캔들이 있고, 한글 레터링 및 영문 문구가 보이는 화려한 스타일의 원형 케이크"
75,_onyourday_1674458774_3021901683046558800_12861674625_cake_1.jpg,원형,화이트|블루|핑크|브라운,러블리|화려함,중앙레터링,있음,크림테두리,하트|꽃|리본,스프링클,곰,있음,"곰 인형과 다양한 장식, 핑크색 레터링, 다채로운 색상의 스프링클, 하트 모양 장식 있음"
76,_onyourday_1674458774_3021901683113743207_12861674625_cake_1.jpg,원형,화이트|옐로우|믹스,러블리,중앙레터링,있음,크림테두리,하트|꽃|리본,진주|스프링클,곰|토끼|기타캐릭터,있음,"생일 케이크, 색색의 풍선 데코와 작은 캐릭터들, 글자가 중앙에 있음"
77,_onyourday_1674458774_3021901683122103757_12861674625_cake_1.jpg,원형,화이트|옐로우,화려함,중앙레터링,있음,크림테두리,없음,스프링클|반짝이,곰,있음,"케이크의 모양은 원형이며, 흰색과 노란색이 주 색상이다. 크림 테두리가 있고 여러 장식과 문구가 포함되어 화려한 스타일이다. 곰 모양의 장식이 보인다."
78,_onyourday_1674729844_3024175580148254356_12861674625_cake_1.jpg,하트,블랙,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,
79,_onyourday_1674817973_3024914865772285326_12861674625_cake_1.jpg,원형,화이트,러블리,중앙레터링,없음,크림테두리,없음,반짝이,없음,있음,"중앙에 영어 문구 레터링이 파란색 크림으로 되어있고, 테두리는 흰 크림 방울로 둘러져 있음. 방울 위에 다채로운 색상의 작은 크림장식이 있음."
80,_onyourday_1674985933_3026323813395109572_12861674625_cake_1.jpg,하트,판단불가,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,케이크 색이 사진 조명으로 정확히 구분 불가하여 '판단불가'로 표기함
81,_onyourday_1675064310_3026981291426420411_12861674625_cake_1.jpg,하트,핑크|화이트,러블리|레터링중심,중앙레터링,있음,크림테두리,리본|하트,없음,없음,있음,"핑크와 흰색 크림 데코, 하트 모양 2단 케이크, 글자가 있는 레터링 케이크"
83,_onyourday_1675329122_3029202693516900319_12861674625_cake_1.jpg,하트,핑크,화려함,중앙레터링,있음,없음,꽃,진주,없음,있음,"하트 모양에 핑크색 크림, 중앙에 레터링 있고 다양한 색상의 꽃 모양 크림 데코와 흰색 진주데코 있음"
84,_onyourday_1675419981_3029964874955679324_12861674625_cake_1.jpg,하트,핑크,러블리,중앙레터링,없음,크림테두리,없음,없음,곰,있음,곰 모양 초는 케이크 본체 위에 있으나 크림 데코로 보기는 어려움. 크림은 테두리 모양으로 잘 발려 있음. 텍스트는 케이크 위에 직접 써진 것으로 중앙 배치되어 있음.
85,_onyourday_1675675115_3032105091604292872_12861674625_cake_1.jpg,하트,핑크,러블리|캐릭터,중앙레터링,없음,없음,하트,스프링클,기타캐릭터,있음,"하트 모양 케이크에 핑크색 크림, 중앙에 레터링과 캐릭터(곰 비슷한 형태로 쓴 기타캐릭터) 장식, 하트 크림 데코와 여러 색 스프링클 장식 있음"
86,_onyourday_1675937169_3034303356947798278_12861674625_cake_1.jpg,하트,핑크,심플,중앙레터링,없음,없음,없음,없음,없음,있음,빨강색을 핑크로 판단함
87,_onyourday_1676028734_3035071458505460798_12861674625_cake_1.jpg,원형,블랙,심플,중앙레터링,없음,크림테두리,없음,없음,없음,있음,"검은색 크림으로 풍성한 테두리 장식을 한 원형 케이크, 중앙에 빨간색 글씨로 레터링 있음"
88,_onyourday_1676107985_3035736264456859238_12861674625_cake_1.jpg,원형,화이트|옐로우|핑크|믹스,화려함|러블리,중앙레터링,있음,크림테두리,꽃,스프링클|과일|진주,토끼|곰,있음,케이크는 원형이고 흰색과 노란색 크림으로 장식되어 있으며 분홍색과 여러 색상의 스프링클이 올라가 있음. 핑크색 토끼와 흰 토끼 모양 초가 있고 'happy birthday' 레터링과 'I LOVE YOU' 문구가 보임.
89,_onyourday_1676279990_3037179148720928312_12861674625_cake_1.jpg,하트,블랙|화이트,레터링중심,중앙레터링,없음,없음,없음,진주,없음,있음,하트 모양 케이크에 검은색과 흰색 크림으로 배경이 되어 있고 흰색 레터링이 가운데 배치되어 있음. 진주 모양 데코레이션가 흰색 점들로 있음. 케이크 테두리는 크림테두리 없음.
90,_onyourday_1676369860_3037933031033043787_12861674625_cake_1.jpg,원형,화이트|핑크|블루,화려함,중앙레터링,없음,크림테두리,리본,없음,없음,있음,원형 케이크에 화려한 크림테두리와 리본 장식. 중앙에 핑크색 레터링 있음.
91,_onyourday_1676456042_3038655982988684877_12861674625_cake_1.jpg,원형,화이트,심플,중앙레터링,없음,없음,없음,없음,없음,있음,흰색 크림 케이크 위에 파란색 레터링이 중앙에 있음. 다른 장식 없음.
92,_onyourday_1676546443_3039414317429937879_12861674625_cake_1.jpg,원형,핑크|블루|브라운,화려함,중앙레터링,없음,크림테두리,꽃,없음,없음,있음,핑크색 케이크 본체에 파란색 크림테두리와 빨간 꽃 모양 크림 장식 있음. 영어 레터링 중앙 배치.
94,_onyourday_1676885270_3042256610295261296_12861674625_cake_1.jpg,원형,화이트|핑크,러블리,중앙레터링,있음,크림테두리,하트|꽃,스프링클,곰,있음,"곰인형 초와 하트 모양 작은 초, 핑크 크림 드리핑, 분홍색과 흰색 크림 데코, 케이크에 초록색 글씨 확인됨"
95,_onyourday_1676968113_3042951544618627932_12861674625_cake_1.jpg,원형,핑크|화이트,러블리,중앙레터링,있음,크림테두리,꽃,진주,기타동물,있음,"키, 문, 구름, 기타모양 크림장식이 있음. 흰색 크림방울 테두리와 진주 모양 크림장식 존재."
99,_onyourday_1677145976_3044443570648630272_12861674625_cake_1.jpg,하트,핑크,러블리,중앙레터링,없음,크림테두리,하트,스프링클,없음,있음,"빨간색 크림에 하트 모양이며, 흰색 중앙 레터링과 가장자리에 크림 방울 테두리가 있음. 다채로운 스프링클 토핑이 있음."
100,_onyourday_1677232923_3045172935829149245_12861674625_cake_1.jpg,원형,블루,레터링중심|심플,중앙레터링,없음,없음,없음,진주,없음,있음,파란색 그라데이션 크림 위에 하얀색 레터링과 진주 같은 데코가 있음. 테두리는 크림테두리가 아닌 단색 크림으로 마감됨.
101,_onyourday_1677491674_3047343488399541097_12861674625_cake_1.jpg,하트,핑크|퍼플,러블리,중앙레터링,없음,없음,꽃|리본,진주,없음,있음,"하트 모양 핑크색 케이크에 퍼플 크림 띠 중앙에 흰색 레터링, 꽃과 리본 모양 크림 장식과 진주 모양 장식이 있음"
102,_onyourday_1677578807_3048074414473475641_12861674625_cake_1.jpg,하트,블랙,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,"하트 모양의 블랙 케이크이며, 붉은색 글씨로 'Happy Birthday'와 다른 문구가 레터링 되어 있음."
103,_onyourday_1677666477_3048809842017296155_12861674625_cake_1.jpg,하트,화이트,러블리,중앙레터링,없음,크림테두리,없음,스프링클,없음,있음,"하트 모양 흰색 크림 케이크에 다채로운 색상의 글자가 중앙에 있으며, 크림 테두리가 있고 다채로운 스프링클 장식이 있음."
104,_onyourday_1677749234_3049504061775379646_12861674625_cake_1.jpg,원형,화이트|핑크|블루,심플,중앙레터링,없음,없음,없음,진주,없음,있음,"케이크 본체는 원형이며 흰색, 분홍색, 파란색 등 3가지 색상이 혼합된 모습. 텍스트가 중앙에 있으며 크림으로 작성됨. 경계선이나 별도의 크림 장식은 보이지 않음. 진주같은 크림 점들이 보임."
105,_onyourday_1677840853_3050272622079511727_12861674625_cake_1.jpg,원형,화이트|블루,러블리|화려함,중앙레터링,있음,크림테두리,꽃,스프링클,곰,있음,곰 모양 초와 다채로운 색상의 장식 및 레터링이 있는 원형 케이크
106,_onyourday_1677921611_3050950062054822630_12861674625_cake_1.jpg,하트,핑크,러블리,중앙레터링,없음,없음,없음,없음,없음,있음,"하트 모양이고 전체 빨간색이며 흰색 글씨가 중앙에 레터링 되어 있음. 테두리, 크림장식 또는 토핑 장식은 없음."
107,_onyourday_1678096453_3052416747727159780_12861674625_cake_1.jpg,원형,옐로우,레터링중심,중앙레터링,없음,크림테두리,없음,없음,없음,있음,노란색 케이크에 파란색 하트 테두리와 중앙에 레터링 있음. 테두리는 크림으로 보이나 하트나 꽃 모양 크림 장식은 없음.
109,_onyourday_1678355851_3054592733994378222_12861674625_cake_1.jpg,원형,화이트|핑크|그린,러블리|화려함,중앙레터링,있음,크림테두리,하트|꽃|리본,스프링클|과일|진주,토끼,있음,"생일 축하 문구와 토끼 모양 장식, 다채로운 색상의 크림과 스프링클 장식이 있음"
111,_onyourday_1678706664_3057535564241274098_12861674625_cake_1.jpg,원형,화이트|퍼플,레터링중심|화려함,중앙레터링,있음,크림테두리,하트,스프링클,없음,있음,"2단 원형 케이크, 흰색과 보라색 크림 사용, 상단에 HAPPY BIRTHDAY 깃발 장식, 여러 색 스프링클 뿌려짐."
114,_onyourday_1678785782_3058199253910820434_12861674625_cake_1.jpg,하트,화이트,러블리,중앙레터링,없음,없음,없음,스프링클,없음,있음,하트 모양의 흰색 케이크에 다채로운 색상의 레터링과 크림 스프링클 장식이 있음. 테두리 장식 없음. 글자는 케이크 위에 중앙 배치되어 있음.
115,_onyourday_1678874650_3058944733606135956_12861674625_cake_1.jpg,하트,화이트,심플,중앙레터링,없음,없음,없음,없음,없음,있음,"하트모양에 흰색 크림만으로 전체를 덮었고 검정색 크림으로 글씨를 중앙에 썼음. 테두리 장식 없음, 글씨 외 다른 꾸밈 요소 없고 글씨는 중간 크기 중앙배치."
116,_onyourday_1678959522_3059656694758613236_12861674625_cake_1.jpg,원형,핑크,캐릭터|화려함,중앙레터링,없음,없음,꽃,스프링클,곰,있음,"핑크색 바탕, 곰 캐릭터에 하트, 알록달록 크림 장식과 스프링클 있음. 글씨는 케이크 중앙에 있음."
117,_onyourday_1679047968_3060398632791899327_12861674625_cake_1.jpg,하트,화이트,러블리,중앙레터링,없음,없음,없음,스프링클,없음,있음,"하트 모양 케이크에 흰색 크림과 원색 스프링클 장식, 중앙에 무지개색 레터링이 있음. 보드 레터링과 테두리 없음."
119,_onyourday_1679392164_3063285961224454266_12861674625_cake_1.jpg,판단불가,핑크|블랙|화이트,레터링중심|화려함,중앙레터링,있음,크림테두리,꽃|리본,진주,없음,있음,"케이크 전체 형태가 명확하지 않아 모양은 판단불가이며, 핑크색과 검정색, 흰색 크림장식이 있음. 레터링이 중앙에 있고 화려한 크림장식과 진주 토핑이 특징임."
120,_onyourday_1679475558_3063985520909116276_12861674625_cake_1.jpg,하트,블랙,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,하트 모양의 검은색 케이크 위에 분홍색 레터링으로 메시지가 적혀있음
122,_onyourday_1679729326_3066114275161066034_12861674625_cake_1.jpg,하트,화이트,심플,중앙레터링,없음,크림테두리,없음,없음,없음,있음,"하트 모양의 하얀 케이크에 흰색 크림 테두리가 있고, 중앙에 레터링이 붉은색으로 있음."
123,_onyourday_1679916257_3067682368122034569_12861674625_cake_1.jpg,하트,핑크,심플,중앙레터링,없음,없음,없음,없음,없음,있음,"케이크는 하트 모양이며, 전체적으로 핑크(빨강에 가까운)색이고, 하얀 크림 글씨가 중앙에 배치된 심플한 디자인이다. 크림 데코와 케이크 테두리 데코는 없다."
126,_onyourday_1680346767_3071293752005275800_12861674625_cake_1.jpg,하트,화이트,러블리,무지개레터링,없음,크림테두리,없음,스프링클,없음,있음,"케이크는 하트 모양이며, 흰색 크림을 바르고 무지개색 글씨와 스프링클 모양의 장식이 있음. 크림 테두리 있음. 글씨가 중앙에 있고 레터링 중심임."
127,_onyourday_1680346767_3071293752013543253_12861674625_cake_1.jpg,하트,화이트,러블리,판단불가,없음,없음,없음,스프링클,없음,있음,하트 모양 케이크이며 흰색 크림 바탕에 색색의 스프링클과 레터링이 있음. 경계선 크림장식 없음. 레터링 유형은 정확히 판별 어려움.
128,_onyourday_1680346767_3071293752013620200_12861674625_cake_1.jpg,하트,화이트,레터링중심,무지개레터링,없음,없음,없음,스프링클,없음,있음,하트 모양 하얀 크림 케이크에 무지개색 글씨와 스프링클이 장식되어 있음. 케이크 본체에 문자만 존재하고 캐릭터는 없음.
129,_onyourday_1680346767_3071293752013628076_12861674625_cake_1.jpg,하트,화이트,러블리,무지개레터링,없음,없음,없음,스프링클,없음,있음,"하트형 케이크에 흰색 크림 베이스, 무지개색 레터링과 스프링클 장식이 있음. 케이크 보드 위에 별도의 문구는 없음."
132,_onyourday_1680605207_3073461696810378944_12861674625_cake_1.jpg,원형,화이트|핑크,러블리|화려함,중앙레터링,있음,크림테두리,하트|꽃|리본,스프링클,곰,있음,"케이크 앞면에 초록색 크림으로 글자가 있음. 핑크색 크림이 흘러내리는 모양으로 장식되어 있으며, 다양한 색상의 풍선 모양 토퍼와 금빛 반짝이 토퍼 있음. 곰 인형 초콜릿 토퍼 포함."
